"Weight","Region"
130,"Northeast"
190,"Northeast"
170,"Northeast"
175,"Northeast"
210,"Northeast"
140,"Northeast"
150,"Northeast"
200,"Northeast"
170,"Northeast"
170,"Northeast"
180,"Northeast"
155,"Northeast"
215,"Northeast"
135,"Northeast"
185,"Northeast"
178,"Northeast"
190,"Northeast"
190,"Northeast"
165,"Northeast"
185,"Northeast"
131,"Northeast"
220,"Northeast"
170,"Northeast"
190,"Northeast"
180,"Northeast"
160,"Northeast"
255,"Northeast"
200,"Northeast"
230,"Northeast"
170,"Northeast"
175,"Northeast"
205,"Northeast"
168,"Northeast"
173,"Northeast"
126,"Northeast"
195,"Northeast"
176,"Northeast"
150,"Northeast"
160,"Northeast"
148,"Northeast"
160,"Northeast"
150,"Northeast"
230,"Northeast"
140,"Northeast"
170,"Northeast"
170,"Northeast"
225,"Northeast"
290,"Northeast"
170,"Northeast"
165,"Northeast"
190,"Northeast"
180,"Northeast"
180,"Northeast"
145,"Northeast"
165,"Northeast"
199,"Northeast"
137,"Northeast"
230,"Northeast"
220,"Northeast"
230,"Northeast"
176,"Northeast"
130,"Northeast"
170,"Northeast"
180,"Northeast"
170,"Northeast"
240,"Northeast"
180,"Northeast"
200,"Midwest"
200,"Midwest"
160,"Midwest"
147,"Midwest"
172,"Midwest"
205,"Midwest"
188,"Midwest"
215,"Midwest"
180,"Midwest"
155,"Midwest"
165,"Midwest"
154,"Midwest"
158,"Midwest"
195,"Midwest"
175,"Midwest"
150,"Midwest"
270,"Midwest"
225,"Midwest"
180,"Midwest"
200,"Midwest"
145,"Midwest"
180,"Midwest"
165,"Midwest"
260,"Midwest"
175,"Midwest"
167,"Midwest"
235,"Midwest"
150,"Midwest"
195,"Midwest"
180,"Midwest"
150,"Midwest"
185,"Midwest"
200,"Midwest"
180,"Midwest"
160,"Midwest"
140,"Midwest"
156,"Midwest"
194,"Midwest"
175,"Midwest"
195,"Midwest"
240,"Midwest"
160,"Midwest"
145,"Midwest"
168,"Midwest"
170,"Midwest"
213,"Midwest"
140,"Midwest"
180,"Midwest"
145,"Midwest"
265,"Midwest"
170,"Midwest"
200,"Midwest"
170,"Midwest"
135,"Midwest"
220,"Midwest"
216,"Midwest"
130,"Midwest"
135,"Midwest"
170,"Midwest"
163,"Midwest"
184,"Midwest"
180,"Midwest"
160,"Midwest"
162,"Midwest"
158,"Midwest"
205,"Midwest"
240,"Midwest"
220,"Midwest"
220,"Midwest"
170,"Midwest"
160,"Midwest"
190,"Midwest"
145,"Midwest"
200,"Midwest"
182,"South"
180,"South"
235,"South"
210,"South"
174,"South"
128,"South"
260,"South"
160,"South"
155,"South"
140,"South"
200,"South"
240,"South"
160,"South"
157,"South"
230,"South"
240,"South"
129,"South"
180,"South"
180,"South"
145,"South"
190,"South"
172,"South"
135,"South"
239,"South"
158,"South"
215,"South"
150,"South"
218,"South"
180,"South"
185,"South"
165,"South"
198,"South"
160,"South"
280,"South"
198,"South"
170,"South"
170,"South"
135,"South"
195,"South"
285,"South"
230,"South"
185,"South"
190,"South"
140,"South"
145,"South"
226,"South"
260,"South"
140,"South"
167,"South"
214,"South"
160,"South"
245,"South"
260,"South"
240,"South"
180,"South"
170,"South"
160,"South"
165,"South"
153,"South"
192,"South"
180,"South"
175,"South"
198,"South"
200,"South"
138,"South"
200,"South"
210,"South"
164,"South"
194,"South"
238,"South"
210,"South"
280,"South"
220,"South"
143,"South"
160,"South"
165,"South"
230,"South"
150,"South"
190,"South"
235,"South"
145,"South"
210,"South"
210,"South"
150,"South"
267,"South"
145,"South"
185,"South"
235,"South"
185,"South"
217,"South"
170,"South"
230,"South"
225,"South"
185,"South"
160,"South"
182,"South"
175,"South"
146,"South"
225,"South"
200,"South"
148,"South"
170,"South"
190,"South"
140,"South"
230,"South"
190,"South"
185,"South"
215,"South"
230,"South"
205,"South"
185,"South"
178,"South"
190,"South"
180,"South"
150,"South"
200,"South"
152,"South"
190,"South"
190,"South"
170,"South"
190,"South"
185,"South"
135,"South"
250,"South"
260,"South"
170,"South"
170,"South"
155,"South"
180,"South"
170,"South"
210,"South"
145,"South"
220,"South"
236,"South"
230,"South"
170,"South"
182,"South"
156,"South"
220,"South"
230,"South"
160,"South"
158,"South"
130,"South"
170,"South"
175,"South"
135,"South"
130,"South"
200,"South"
220,"South"
190,"South"
180,"South"
200,"South"
180,"South"
190,"South"
165,"South"
150,"South"
145,"South"
160,"South"
160,"South"
192,"South"
155,"South"
180,"South"
164,"South"
140,"South"
285,"South"
230,"South"
190,"South"
190,"South"
170,"South"
209,"South"
157,"South"
150,"South"
160,"South"
150,"South"
189,"South"
170,"South"
180,"South"
186,"South"
183,"South"
220,"South"
200,"South"
152,"South"
175,"South"
215,"South"
205,"South"
220,"South"
143,"South"
200,"South"
170,"South"
184,"South"
155,"South"
220,"South"
167,"South"
168,"South"
143,"South"
172,"South"
180,"South"
140,"South"
160,"South"
145,"South"
190,"South"
190,"South"
198,"South"
160,"South"
186,"South"
240,"South"
180,"South"
195,"South"
160,"South"
235,"South"
175,"South"
165,"South"
155,"South"
210,"South"
150,"South"
220,"South"
185,"South"
140,"South"
230,"South"
155,"South"
143,"South"
150,"West"
179,"West"
225,"West"
185,"West"
190,"West"
215,"West"
185,"West"
200,"West"
150,"West"
141,"West"
155,"West"
210,"West"
198,"West"
175,"West"
178,"West"
225,"West"
190,"West"
170,"West"
157,"West"
185,"West"
180,"West"
225,"West"
150,"West"
252,"West"
205,"West"
220,"West"
145,"West"
235,"West"
200,"West"
180,"West"
198,"West"
200,"West"
172,"West"
190,"West"
167,"West"
185,"West"
155,"West"
210,"West"
130,"West"
176,"West"
170,"West"
210,"West"
195,"West"
170,"West"
160,"West"
175,"West"
170,"West"
198,"West"
220,"West"
270,"West"
177,"West"
250,"West"
165,"West"
168,"West"
190,"West"
170,"West"
165,"West"
180,"West"
130,"West"
275,"West"
170,"West"
200,"West"
175,"West"
160,"West"
180,"West"
167,"West"
160,"West"
145,"West"
145,"West"
190,"West"
260,"West"
195,"West"
175,"West"
222,"West"
230,"West"
280,"West"
228,"West"
205,"West"
200,"West"
190,"West"
180,"West"
140,"West"
178,"West"
175,"West"
240,"West"
160,"West"
230,"West"
180,"West"
160,"West"
245,"West"
148,"West"
208,"West"
265,"West"
160,"West"
250,"West"
250,"West"
198,"West"
180,"West"
190,"West"
150,"West"
220,"West"
150,"West"
220,"West"
160,"West"
180,"West"
160,"West"
163,"West"
252,"West"
225,"West"
240,"West"
150,"West"
192,"West"
175,"West"
200,"West"
200,"West"
270,"West"
230,"West"
200,"West"
175,"West"
208,"West"
180,"West"
195,"West"
178,"West"
175,"West"
165,"West"
240,"West"
145,"West"
150,"West"
185,"West"
130,"West"
180,"West"
180,"West"
188,"West"
159,"West"
210,"West"
150,"West"
150,"West"
255,"West"
160,"West"
162,"West"
150,"West"
180,"West"
220,"West"
220,"West"
212,"West"
167,"West"
207,"West"
230,"West"
285,"West"
160,"West"
220,"West"
215,"West"
128,"West"
200,"West"
195,"West"
160,"West"
165,"West"
185,"West"
142,"West"
190,"West"
180,"West"
155,"West"
180,"West"
180,"West"
137,"West"
235,"West"
243,"West"
160,"West"
210,"West"
134,"West"
180,"West"
270,"West"
165,"West"
185,"West"
155,"West"
230,"West"
154,"West"
180,"West"
130,"West"
180,"West"
156,"West"
195,"West"
287,"West"
180,"West"
170,"West"
285,"West"
225,"West"
285,"West"
220,"West"
160,"West"
220,"West"
165,"West"
175,"West"
270,"West"
253,"West"
200,"West"
185,"West"
267,"West"
150,"West"
190,"West"
130,"West"
180,"West"
265,"West"
163,"West"
185,"West"
170,"West"
196,"West"
198,"West"
195,"West"
230,"West"
165,"West"
235,"West"
165,"West"
180,"West"
170,"West"
170,"West"
200,"West"
210,"West"
135,"West"
174,"West"
165,"West"
205,"West"
190,"West"
210,"West"
135,"West"
150,"West"
160,"West"
175,"West"
186,"West"
185,"West"
200,"West"
160,"West"
275,"West"
170,"West"
235,"West"
145,"West"
170,"West"
195,"West"
195,"West"
146,"West"
220,"West"
210,"West"
180,"West"
180,"West"
265,"West"
170,"West"
180,"West"
175,"West"
150,"West"
170,"West"
192,"West"
250,"West"
250,"West"
155,"West"
190,"West"
270,"West"
200,"West"
185,"West"
190,"West"
180,"West"
178,"West"
254,"West"
180,"West"
205,"West"
210,"West"
