"COUNTRY","EFCPerCap","HDI"
"Afghanistan",0.89,0.48
"Albania",2.29,0.76
"Algeria",2.38,0.74
"Angola",0.98,0.53
"Antigua and Barbuda",4.1,0.78
"Argentina",3.73,0.82
"Armenia",2.07,0.74
"Australia",8.8,0.94
"Austria",6.11,0.89
"Azerbaijan",2.3,0.75
"Bahamas",4.3,0.79
"Bahrain",6.43,0.82
"Bangladesh",0.75,0.57
"Barbados",3.36,0.79
"Belarus",4.63,0.8
"Belgium",6.89,0.89
"Benin",1.31,0.47
"Bhutan",4.61,0.6
"Bolivia",3.06,0.67
"Bosnia and Herzegovina",3.21,0.74
"Botswana",3.07,0.7
"Brazil",3.02,0.75
"Brunei Darussalam",5.17,0.86
"Bulgaria",3.13,0.79
"Burkina Faso",1.19,0.4
"Burundi",0.63,0.4
"Cabo Verde",2.2,0.64
"Cambodia",1.21,0.55
"Cameroon",1.16,0.51
"Canada",8.76,0.91
"Central African Republic",1.14,0.34
"Chad",1.37,0.39
"Chile",4.35,0.84
"China",3.59,0.72
"Colombia",1.89,0.72
"Comoros",1.05,0.5
"Congo",1.26,0.58
"Congo Democratic Republic of",0.75,0.42
"Costa Rica",2.48,0.77
"Cote d'Ivoire",1.22,0.46
"Croatia",3.77,0.82
"Cuba",1.86,0.77
"Cyprus",3.31,0.85
"Czech Republic",5.29,0.87
"Denmark",6.11,0.93
"Djibouti",2.79,0.47
"Dominica",2.25,0.72
"Dominican Republic",1.53,0.71
"Egypt",1.96,0.69
"El Salvador",1.89,0.68
"Equatorial Guinea",3.12,0.58
"Eritrea",0.5,0.42
"Estonia",7.01,0.86
"Ethiopia",1.01,0.44
"Fiji",3.33,0.73
"Finland",6.73,0.89
"France",5.06,0.89
"Gabon",2.45,0.69
"Gambia",0.92,0.45
"Georgia",1.73,0.76
"Germany",5.46,0.92
"Ghana",1.92,0.58
"Greece",4.21,0.86
"Grenada",3.05,0.75
"Guatemala",1.7,0.61
"Guinea",1.37,0.41
"Guinea-Bissau",1.31,0.42
"Guyana",3.32,0.64
"Haiti",0.61,0.49
"Honduras",1.71,0.62
"Hungary",3.26,0.83
"India",1.06,0.61
"Indonesia",1.45,0.68
"Iran Islamic Republic of",3,0.77
"Iraq",1.9,0.66
"Ireland",4.8,0.91
"Israel",5.96,0.89
"Italy",4.5,0.88
"Jamaica",1.89,0.73
"Japan",4.99,0.9
"Jordan",2.05,0.74
"Kazakhstan",6.49,0.79
"Kenya",1.03,0.55
"Korea Republic of",5.85,0.9
"Kuwait",8.22,0.79
"Kyrgyzstan",1.87,0.66
"Lao People's Democratic Republic",1.46,0.57
"Latvia",6.53,0.82
"Lebanon",3.38,0.76
"Lesotho",1.43,0.49
"Liberia",1.14,0.43
"Libyan Arab Jamahiriya",4.41,0.73
"Lithuania",6.18,0.84
"Luxembourg",13.09,0.89
"Macedonia TFYR",3.06,0.74
"Madagascar",0.95,0.51
"Malawi",0.82,0.47
"Malaysia",4.21,0.78
"Mali",1.3,0.43
"Malta",4.45,0.85
"Mauritania",2.43,0.51
"Mauritius",3.33,0.77
"Mexico",2.56,0.75
"Moldova",1.74,0.7
"Mongolia",7.48,0.73
"Montenegro",3.64,0.8
"Morocco",1.7,0.64
"Mozambique",0.84,0.41
"Myanmar",1.44,0.55
"Namibia",2.11,0.63
"Nepal",0.93,0.55
"Netherlands",5.8,0.92
"New Zealand",5.11,0.91
"Nicaragua",1.43,0.64
"Niger",1.49,0.34
"Nigeria",1.07,0.52
"Norway",5.76,0.94
"Oman",5.67,0.8
"Pakistan",0.73,0.54
"Panama",2.81,0.78
"Papua New Guinea",1.51,0.51
"Paraguay",4.01,0.69
"Peru",2.34,0.74
"Philippines",1.01,0.68
"Poland",4.27,0.85
"Portugal",3.87,0.84
"Qatar",12.57,0.85
"Romania",2.63,0.8
"Russian Federation",5.72,0.8
"Rwanda",0.87,0.49
"Saint Kitts and Nevis",4.42,0.76
"Saint Lucia",2.36,0.72
"Saint Vincent and Grenadines",3.42,0.72
"Samoa",2.33,0.7
"Sao Tome and Principe",1.62,0.56
"Saudi Arabia",5.61,0.84
"Senegal",1.11,0.48
"Serbia",3.1,0.77
"Sierra Leone",1.21,0.43
"Singapore",6.8,0.92
"Slovakia",4.44,0.84
"Slovenia",4.7,0.89
"Solomon Islands",1.19,0.51
"South Africa",3.37,0.66
"South Sudan",1.72,0.42
"Spain",4.03,0.88
"Sri Lanka",1.43,0.76
"Sudan",1.43,0.49
"Suriname",4.01,0.72
"Swaziland",2.04,0.54
"Sweden",6.53,0.91
"Switzerland",5.28,0.94
"Syrian Arab Republic",1.44,0.57
"Tajikistan",0.93,0.62
"Tanzania United Republic of",1.25,0.51
"Thailand",2.57,0.74
"Timor-Leste",0.74,0.61
"Togo",1.01,0.47
"Tonga",2.89,0.72
"Trinidad and Tobago",8.76,0.78
"Tunisia",2.18,0.72
"Turkey",3.19,0.76
"Turkmenistan",5.54,0.68
"Uganda",1.22,0.48
"Ukraine",3.24,0.75
"United Kingdom",5.05,0.9
"United States of America",8.59,0.92
"Uruguay",3.3,0.79
"Uzbekistan",2.16,0.69
"Vanuatu",3.56,0.6
"Venezuela Bolivarian Republic of",3.29,0.77
"Viet Nam",1.66,0.68
"World",2.87,0.69
"Yemen",0.97,0.5
"Zambia",0.97,0.57
"Zimbabwe",1.14,0.5
