sample,elevation,bodyPC1
JMD1229,1550,0.90582584
JMD1230,1546,0.639149721
JMD1231,1556,1.059173261
JMD1232,1550,0.159457968
JMD1233,1557,-0.101734521
JMD1234,1556,-0.053557666
JMD1236,950,0.7529182
JMD1237,950,-0.447728345
JMD1238,940,0.388470226
JMD1240,937,0.930463028
JMD1241,950,-1.034545427
JMD1242,950,0.918274247
JMD1243,949,1.248251114
JMD1244,939,0.746555009
JMD1245,935,2.510836416
JMD1246,939,0.060490772
JMD1248,1073,1.278091973
JMD1249,1051,0.75993913
JMD1250,1011,0.020214408
JMD1252,983,0.6012059
JMD1253,1031,0.807138604
JMD1254,992,-0.333142306
JMD1255,939,0.841051777
JMD1256,937,1.773088774
JMD1259,937,-0.194036249
JMD1260,716,0.411870405
JMD1261,1080,0.014108859
JMD1262,1053,-0.605901656
JMD1263,982,-1.0944936
JMD1264,1022,-0.593615055
JMD1265,1017,-0.328294097
JMD1266,991,0.646330472
JMD1267,983,-0.519565006
JMD1268,1017,-0.003047285
JMD1269,956,0.586502438
JMD1270,939,1.247531375
JMD1272,935,2.430163549
JMD1275,1554,0.286170788
JMD1276,1557,-0.861926295
JMD1277,1611,2.823894448
JMD1282,1620,-0.991796048
JMD1285,302,-3.035662094
JMD1286,297,-2.786540232
JMD1287,275,-1.509948891
JMD1288,314,-2.682703494
JMD1291,295,-2.05120162
JMD1292,317,-2.651305003
JMD1293,303,-1.06801882
JMD1294,575,-3.178196229
JMD1295,580,-1.302039107
JMD1298,616,0.332734839
JMD1300,616,-0.703912805
JMD1301,577,0.18102254
JMD1302,575,-2.33824697
JMD1303,580,-2.084137412
JMD1304,1550,0.019334848
JMD1305,1554,1.108007856
JMD1306,1634,-1.1195289
JMD1307,1664,-0.119309111
JMD1310,1625,2.30975192
JMD1313,1611,0.393856035
JMD1314,1664,0.112636275
JMD1322,575,0.32734903
JMD1323,580,-0.80754607
JMD1324,1565,3.443207541
JMD1325,1546,0.945124823
JMD1326,1583,1.200331901
JMD1327,1611,1.720837619
JMD1332,1583,-0.740159505
JMD1333,1051,0.439420387
JMD1334,1063,1.188582901
JMD1335,949,1.928845224
JMD1336,936,3.15606437
JMD1337,716,0.311108267
JMD1338,983,1.223131496
JMD1339,952,0.669152385
JMD1340,975,2.362776983
JMD1343,1051,-2.048589118
JMD1344,1057,0.234145424
JMD1345,1007,-1.254302032
JMD1346,1006,1.087918584
JMD1347,976,-0.414792553
JMD1348,936,0.598593398
JMD1349,1016,0.073874893
JMD1350,998,0.826788095
JMD1351,983,-0.769126649
JMD1353,1000,0.280247377
JMD1355,995,0.575730819
JMD1357,936,1.233707473
JMD1358,968,1.239093282
JMD1360,1007,2.7539932
JMD1361,1565,2.940716193
JMD1362,1550,2.060370432
JMD1363,1634,1.031623279
JMD1364,1583,0.712202056
JMD1366,1634,0.008563229
JMD1367,1555,0.813062014
JMD1368,314,-2.662956182
JMD1369,310,-2.177438839
JMD1373,304,-2.670416893
JMD1374,295,-0.66682721
JMD1376,299,-3.099598264
JMD1377,305,-1.042543739
JMD1378,306,-3.883350039
JMD1380,300,-3.825499085
JMD1381,301,-2.944175942
JMD1382,580,-0.318318705
JMD1383,575,-1.682945803
JMD1384,612,-1.148154085
JMD1385,631,0.258425164
JMD1396,1581,0.865549476
JMD1397,1646,0.991884516
JMD1398,1640,-1.568799544
JMD1399,1592,0.712739657
