specimen,group,jawjoint_vol
eu1,wt,29968596
eu4,wt,30520783.13
eu7,wt,29250868.5
eu8,wt,61567128
eu13,wt,33666050.25
eu32,wt,26072030.25
eu34,wt,50856781.5
eu39,wt,38819796.75
eu47,wt,25777993.5
eu48,wt,47855059.88
eu50,wt,37423701
eu51,wt,43596157.5
eu52,wt,39503953.13
eu54,wt,18723426.75
eu55,wt,26840693.25
eu59,wt,22400043.75
eu60,wt,26047720.13
eu65,wt,20523533.63
eu66,wt,23143239
eu67,wt,23673431.25
eu68,wt,21611701.13
eu69,wt,30230219.25
eu70,wt,26286190.88
eu71,wt,22275020.25
eu72,wt,29014713
eu73,wt,40934777.63
eu74,wt,32539681.13
eu75,wt,57524701.5
eu76,wt,35283252.38
eu77,wt,35089929
eu78,wt,51342984
eu79,wt,58299152.63
eu80,wt,80241934.5
eu82,wt,51934530.38
eu83,wt,53224124.63
eu84,wt,65848025.25
eu85,wt,68022045
mtz1,hypo,61410848.63
mtz2,hypo,48387567.38
mtz5,hypo,89465890.5
mtz6,hypo,124901949.4
mtz7,hypo,67459439.25
mtz9,hypo,99304545.38
mtz10,hypo,38807062.88
mtz15,hypo,74501272.13
mtz16,hypo,50912347.5
mtz17,hypo,51314043.38
mtz25,hypo,94877787.38
mtz30,hypo,81646133.63
mtz33,hypo,62445765.38
mtz34,hypo,56693526.75
mtz35,hypo,67509217.13
mtz36,hypo,105216536.3
mtz37,hypo,49493099.25
mtz40,hypo,85472084.25
mtz42,hypo,95477437.13
mtz45,hypo,40271458.5
mtz50,hypo,41938438.5
mtz51,hypo,97800790.5
mtz52,hypo,84360764.25
mtz53,hypo,54237046.5
mtz55,hypo,51405495.75
mtz56,hypo,41045909.63
mtz57,hypo,62764112.25
mtz58,hypo,69697128.38
mtz60,hypo,42907370.63
mtz70,hypo,56191117.5
mtz71,hypo,44306939.25
mtz72,hypo,34993846.13
mtz73,hypo,53361882
mtz74,hypo,64083804.75
mtz75,hypo,58167183.38
mtz76,hypo,43064807.63
mtz78,hypo,28438215.75
